Matrix Size,Num AIOs,AIO Latency,Parallelism,Cores,Mem Latency,Ext Data Movement,Mem Overlap,Bus Width,Working Set Size,Mem Bandwidth
16,16,14849138,16,1024,0,0,0,1,0,1
24,24,33475401,24,1024,0,0,0,1,0,1
32,32,59549821,32,1024,0,0,0,1,0,1
48,48,134043128,48,1024,0,0,0,1,0,1
64,64,238329059,64,1024,0,0,0,1,0,1
96,96,536278794,96,1024,0,0,0,1,0,1
128,128,953399026,128,1024,0,0,0,1,0,1
192,192,2145150979,192,1024,0,0,0,1,0,1
256,256,3813584917,256,1024,0,0,0,1,0,1
384,384,8580498752,384,1024,0,0,0,1,0,1
512,512,15254140529,512,1024,0,0,0,1,0,1
