Matrix Size,Num AIOs,AIO Latency,Parallelism,Cores,Mem Latency,Ext Data Movement,Mem Overlap,Bus Width,Working Set Size,Mem Bandwidth
16,16,2144,16,64,70,512,1,2,0,2
24,24,3488,24,64,70,1152,1,2,0,2
32,32,4336,32,64,70,2048,1,2,0,2
48,48,9056,48,64,70,4608,1,2,0,2
64,64,12544,64,64,70,8192,1,2,0,2
96,96,17429.33333,96,64,70,18432,1,2,0,2
128,128,27736,128,64,70,32768,1,2,0,2
192,192,56245.33333,192,64,70,73728,1,2,0,2
256,256,174716,256,64,70,131072,1,2,0,2
384,384,382432,384,64,70,294912,1,2,0,2
512,512,670804,512,64,70,524288,1,2,0,2
