Cores	Matrix Size	Cycles
1024	16	14849138
1024	24	33475401
1024	32	59549821
1024	48	134043128
1024	64	238329059
1024	96	536278794
1024	128	953399026
1024	192	2145150979
1024	256	3813584917
1024	384	8580498752
1024	512	15254140529
